MÉTRICA,VALOR
--- 2LEADS - SPLIT PER CHANNEL ---,
# of new leads,3726
Target,Manual
Paid online Marketing,2614
Meta - Paid Social,1754
Google - Paid Search,860
C2C referrals,0
Family & friends,0
PR /Events / Organic,12
Marketing Influencers,0
Partnerships,0
App,0
Ambassadors,0
Outbound,0
B2C referrals,0
Indonesia,459
Ireland,181
Wealth,0
,
--- 5ENGAGEMENTS - SPLIT PER CHANNEL ---,
# of new Engagements,148
Deal Source (Closers + PC + Wealth),148
Paid Online Marketing,75
Meta,75
Google,0
C2C,0
Family and Friends,10
PR / Events / Organic,26
Marketing Influencers,0
Partnerships,0
App,3
Ambassador,21
Outbound Sales,0
B2B Referrals,0
,
--- 6Deal Type ---,
New,116
New Multi,7
Repeat,11
Repeat Multi,13
